,STATE SEN 6,,,,STATE SEN 7,,,,STATE SEN 8,,,,STATE SEN 9,,,,STATE SEN 10,,,,STATE SEN 11,,,,STATE SEN 21,,,,STATE SEN 23,,,,STATE SEN 37,
Overland Park 3-10,-,-,-,-,-,-,-,-,283,55.17%,230,44.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-11,-,-,-,-,-,-,-,-,388,54.65%,321,45.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-12,-,-,-,-,-,-,-,-,215,39.74%,326,60.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-13,-,-,-,-,-,-,-,-,637,52.04%,585,47.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-14,-,-,-,-,-,-,-,-,384,45.99%,451,54.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-15,-,-,-,-,-,-,-,-,318,57.82%,232,42.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,327,49.85%,329,50.15%,-,-,-,-,-,-,-,-,-,-
Overland Park 3-17,-,-,-,-,-,-,-,-,291,55.75%,231,44.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-18,-,-,-,-,-,-,-,-,320,47.13%,358,52.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-19,-,-,-,-,-,-,-,-,403,54.68%,334,45.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,413,47.53%,454,52.24%,-,-,-,-,-,-,-,-,-,-
Overland Park 4-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,470,98.95%
Overland Park 4-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,831,99.16%
Overland Park 4-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350,32.11%,740,67.89%,-,-,-,-,-,-,-,-,-,-
Overland Park 4-04,-,-,-,-,-,-,-,-,700,62.56%,419,37.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-05,-,-,-,-,-,-,-,-,541,63.42%,311,36.46%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-06,-,-,-,-,-,-,-,-,379,57.77%,277,42.23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-07,-,-,-,-,-,-,-,-,265,46.74%,302,53.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-08,-,-,-,-,-,-,-,-,449,56.98%,339,43.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-09,-,-,-,-,-,-,-,-,518,69.07%,232,30.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-10,-,-,-,-,-,-,-,-,371,64.41%,205,35.59%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-11,-,-,-,-,-,-,-,-,487,53.17%,429,46.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-12,-,-,-,-,-,-,-,-,726,58.64%,511,41.28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-13,-,-,-,-,-,-,-,-,428,71.57%,169,28.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-14,-,-,-,-,-,-,-,-,317,65.09%,170,34.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-15,-,-,-,-,-,-,-,-,676,62.19%,410,37.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-16,-,-,-,-,-,-,-,-,563,67.02%,277,32.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-17,-,-,-,-,-,-,-,-,550,59.01%,382,40.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 4-18,-,-,-,-,-,-,-,-,98,48.51%,103,50.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-01,-,-,-,-,-,-,-,-,475,57.44%,352,42.56%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-02,-,-,-,-,-,-,-,-,243,54.61%,200,44.94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-03,-,-,-,-,-,-,-,-,364,57.50%,268,42.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-04,-,-,-,-,-,-,-,-,394,52.53%,356,47.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-05,-,-,-,-,-,-,-,-,280,43.89%,357,55.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,332,42.84%,443,57.16%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,26.20%,738,73.80%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,465,38.21%,752,61.79%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430,41.67%,602,58.33%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363,43.06%,480,56.94%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-11,-,-,-,-,-,-,-,-,502,49.31%,516,50.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-12,-,-,-,-,-,-,-,-,115,47.92%,125,52.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,468,47.42%,518,52.48%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,330,40.89%,477,59.11%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-15,-,-,-,-,-,-,-,-,400,54.50%,334,45.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 5-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,45.02%,286,54.79%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,46.74%,188,53.26%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,322,48.64%,339,51.21%,-,-,-,-,-,-,-,-,-,-
Overland Park 5-19,-,-,-,-,-,-,-,-,48,60.00%,32,40.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 6-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,323,34.07%,625,65.93%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254,33.20%,509,66.54%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,782,98.49%
Overland Park 6-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,785,99.37%
Overland Park 6-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,391,38.60%,622,61.40%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,100.00%
Overland Park 6-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216,99.54%
Overland Park 6-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,939,98.95%
Overland Park 6-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,884,98.55%
Overland Park 6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,674,98.97%
Overland Park 6-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,313,38.98%,489,60.90%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,40.22%,220,59.78%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,336,33.30%,673,66.70%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,33.33%,2,66.67%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317,29.91%,743,70.09%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,494,99.20%
Overland Park 6-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,335,39.50%,513,60.50%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Overland Park 6-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,376,38.68%,596,61.32%,-,-,-,-,-,-,-,-,-,-
Overland Park 6-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351,99.43%
Overland Park 6-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,984,98.99%
Overland Park 6-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,288,98.97%
Overland Park 6-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,99.24%
Oxford Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Oxford Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,473,99.37%
Oxford Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Oxford Twp 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158,32.24%,332,67.76%,-,-,-,-,-,-,-,-,-,-
Oxford Twp 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7.14%,13,92.86%,-,-,-,-,-,-,-,-,-,-
Oxford Twp 0-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-
Oxford Twp 0-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,38.24%,21,61.76%,-,-,-,-,-,-,-,-,-,-
Oxford Twp 0-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.00%,2,100.00%,-,-,-,-,-,-,-,-,-,-
Oxford Twp 0-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,100.00%
Prairie Village 1-01,-,-,-,-,360,41.33%,510,58.55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 1-02,-,-,-,-,282,44.69%,349,55.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 1-03,-,-,-,-,422,46.78%,480,53.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 2-01,-,-,-,-,344,47.71%,377,52.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 2-02,-,-,-,-,189,45.99%,221,53.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 2-03,-,-,-,-,342,49.28%,352,50.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 3-01,-,-,-,-,225,42.86%,299,56.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 3-02,-,-,-,-,345,44.17%,435,55.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 3-03,-,-,-,-,355,50.28%,349,49.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 4-01,-,-,-,-,221,28.81%,546,71.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 4-02,-,-,-,-,218,40.52%,320,59.48%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 4-03,-,-,-,-,360,42.76%,482,57.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 5-01,-,-,-,-,282,33.77%,553,66.23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 5-02,-,-,-,-,261,32.58%,539,67.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 5-03,-,-,-,-,231,38.63%,366,61.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 6-01,-,-,-,-,348,42.65%,468,57.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 6-02,-,-,-,-,330,51.08%,315,48.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prairie Village 6-03,-,-,-,-,230,47.33%,256,52.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 1-01,-,-,-,-,256,68.09%,118,31.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 1-02,-,-,-,-,159,64.11%,89,35.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 1-03,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 2-01,-,-,-,-,234,60.31%,152,39.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 2-02,-,-,-,-,306,62.45%,184,37.55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 3-01,-,-,-,-,212,65.03%,114,34.97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 3-02,-,-,-,-,352,61.54%,219,38.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 4-01,-,-,-,-,154,59.00%,107,41.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roeland Park 4-02,-,-,-,-,458,59.95%,302,39.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,398,45.80%,471,54.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249,41.36%,352,58.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279,45.37%,336,54.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,419,41.28%,596,58.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,458,43.58%,593,56.42%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,294,36.70%,507,63.30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,375,42.81%,500,57.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,360,36.66%,622,63.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,58.66%,74,41.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,28.72%,211,71.28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,268,39.64%,407,60.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 1-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,55.56%,4,44.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,186,45.81%,220,54.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315,44.68%,390,55.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,359,54.23%,303,45.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,423,47.85%,461,52.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215,46.84%,243,52.94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,39.52%,352,60.48%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,259,48.68%,273,51.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,46.30%,260,53.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224,48.07%,241,51.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192,46.15%,224,53.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,43.85%,338,56.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,59.81%,86,40.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 2-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,43.38%,184,56.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179,30.24%,412,69.59%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,353,32.96%,717,66.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301,35.62%,544,64.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,31.56%,516,68.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,29.23%,673,70.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374,41.93%,517,57.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,364,35.79%,653,64.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,345,35.10%,638,64.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 3-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156,28.06%,400,71.94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420,40.94%,606,59.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,40.07%,349,59.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,40.00%,155,59.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,60.43%,146,39.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361,44.08%,456,55.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,277,40.20%,412,59.80%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,375,36.76%,644,63.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151,41.14%,215,58.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477,39.92%,718,60.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-
Shawnee 4-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,304,45.92%,358,54.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shawnee 4-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,44.00%,56,56.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spring Hill 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1059,98.60%
Spring Hill 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Spring Hill 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,97.37%
Spring Hill 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Spring Hill Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,751,98.95%
Spring Hill Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,100.00%
Spring Hill Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,100.00%
Spring Hill Twp 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,100.00%
Spring Hill Twp 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,100.00%
Westwood 0-01,-,-,-,-,272,59.26%,185,40.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Westwood 0-02,-,-,-,-,240,55.81%,190,44.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Westwood Hills 0-01,-,-,-,-,143,58.37%,101,41.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
